sku,sku_prefix_3,backorder_probability,risk_level,planner_priority,alert_status,actual_backorder,actual_backorder_label,predicted_backorder,predicted_backorder_label,prediction_outcome,correct_prediction,detected_backorder,missed_backorder,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,potential_issue,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop
2910933,291,0.33,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,13.0,8.0,0.0,14.0,28.0,42.0,4.0,12.0,22.0,34.0,2.0,0.0,0.88,0.94,0.0,0,0,0,0,1,0
1918283,191,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
2862729,286,0.36,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,-1.0,12.0,0.0,21.0,30.0,39.0,2.0,11.0,19.0,24.0,3.0,0.0,0.73,0.79,1.0,0,0,0,0,1,0
3223963,322,0.2,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,12.0,2.0,0.0,49.0,85.0,115.0,20.0,44.0,84.0,145.0,13.0,4.0,0.84,0.87,0.0,0,0,0,1,1,0
1646284,164,0.39,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,52.0,8.0,179.0,1788.0,2832.0,3960.0,372.0,1318.0,1938.0,3206.0,72.0,0.0,0.93,0.93,24.0,0,0,0,0,1,0
1592968,159,0.25,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,10.0,8.0,0.0,48.0,54.0,78.0,24.0,31.0,53.0,78.0,27.0,0.0,0.75,0.84,0.0,0,0,0,0,1,0
1124055,112,0.2253333333333333,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,2.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.0,0,1,0,0,1,0
3013188,301,0.21,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,4.0,6.0,8.0,2.0,4.0,6.0,9.0,2.0,1.0,0.5,0.46,0.0,0,0,0,0,1,0
1406940,140,0.38,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,2.0,8.0,0.0,51.0,56.0,76.0,5.0,27.0,44.0,56.0,0.0,4.0,0.3,0.3,0.0,0,0,0,0,1,0
3106695,310,0.26,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,4.0,3.0,11.0,17.0,21.0,19.0,27.0,28.0,31.0,0.0,0.0,0.73,0.78,0.0,0,0,0,0,1,0
3490894,349,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1531282,153,0.2,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,7.0,4.0,0.0,0.0,5.0,5.0,5.0,7.0,8.0,21.0,0.0,0.0,0.86,0.89,0.0,0,0,0,0,1,0
1454924,145,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1317874,131,0.25,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,2.0,2.0,0.0,5.0,10.0,20.0,6.0,20.0,49.0,65.0,0.0,0.0,0.98,0.99,0.0,0,0,0,0,1,0
3409632,340,0.23,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,67.0,3.0,0.0,378.0,667.0,874.0,38.0,42.0,42.0,45.0,86.0,0.0,0.96,0.97,0.0,0,0,0,0,1,0
3064142,306,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
2227248,222,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
2008651,200,0.39,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,2.0,8.0,0.0,40.0,59.0,59.0,8.0,38.0,58.0,85.0,0.0,0.0,0.5,0.41,0.0,0,0,0,1,1,0
3497808,349,0.22,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,4.0,8.0,2.0,40.0,75.0,115.0,2.0,13.0,27.0,32.0,6.0,0.0,0.34,0.37,0.0,0,0,0,0,1,0
1526415,152,0.2812909514500626,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.78,0.0,0,0,0,0,1,0
2239804,223,0.34,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,1.0,12.0,0.0,14.0,14.0,22.0,0.0,5.0,7.0,11.0,0.0,0.0,0.46,0.38,0.0,0,0,0,0,1,0
1117649,111,0.35,Elevated,Monitor,No Alert,1,Backorder,0,No Backorder,False Negative,0,0,1,0.0,2.0,0.0,4.0,6.0,8.0,2.0,2.0,5.0,11.0,0.0,0.0,0.6,0.6,0.0,0,0,0,0,1,0
3163793,316,0.2812909514500626,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.78,0.0,0,0,0,0,1,0
2227941,222,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1805671,180,0.31,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,1.0,8.0,0.0,4.0,6.0,8.0,2.0,5.0,8.0,9.0,0.0,0.0,0.89,0.78,0.0,0,0,0,0,1,0
3281551,328,0.32,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,2.0,2.0,0.0,8.0,16.0,24.0,9.0,18.0,30.0,45.0,1.0,0.0,0.97,0.97,0.0,0,0,0,0,1,0
3116837,311,0.2812909514500626,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.78,0.0,0,0,0,0,1,0
3040329,304,0.2,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,3.0,2.0,0.0,3.0,3.0,6.0,3.0,4.0,7.0,9.0,1.0,0.0,0.54,0.61,0.0,0,0,0,0,1,0
2811241,281,0.3766582539350632,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.83,0.0,0,0,0,0,1,0
1540594,154,0.2,Elevated,Monitor,No Alert,0,No Backorder,0,No Backorder,True Negative,1,0,0,2.0,8.0,0.0,32.0,32.0,32.0,2.0,10.0,22.0,28.0,0.0,0.0,0.98,0.99,0.0,0,0,0,0,1,0
